"","row","column","cor","p","p.adj"
"1","Algae","Bryozoa",-0.741681414628461,0,0
"2","Algae","Cnidaria",-0.371413277795843,1.46149758961656e-12,1.42496014987614e-11
"3","Bryozoa","Cnidaria",0.296744508301541,2.43748694561674e-08,1.46249216737004e-07
"4","Algae","Other",0.0555452711464171,0.307149772845545,0.413063487619871
"5","Bryozoa","Other",-0.123096366872009,0.0232035931387378,0.0583832343490821
"6","Cnidaria","Other",0.0716935698064999,0.18723822243751,0.298052680614812
"7","Algae","Soft.Substrate",-0.668198888752705,0,0
"8","Bryozoa","Soft.Substrate",0.18093803149588,0.000803018940139122,0.00347974874060286
"9","Cnidaria","Soft.Substrate",0.105703711116953,0.0514914681843324,0.102982936368665
"10","Other","Soft.Substrate",-0.356837437013936,1.20157217509131e-11,9.37226296571225e-11
"11","Algae","Annelida",-0.09851254168965,0.0696458393230155,0.132496962614517
"12","Bryozoa","Annelida",0.109762835521558,0.0431156233873122,0.0908923952489285
"13","Cnidaria","Annelida",0.0990021637155355,0.0682627368370929,0.132496962614517
"14","Other","Annelida",-0.157287980489032,0.00364113787077347,0.0135242263771586
"15","Soft.Substrate","Annelida",0.0756743411005272,0.163854519105862,0.266263593547026
"16","Algae","Chordata",-0.288794701403856,5.91178266340364e-08,3.07412698496989e-07
"17","Bryozoa","Chordata",0.137244149266699,0.0112982588479338,0.031473721076387
"18","Cnidaria","Chordata",0.384942164226712,1.87849735766576e-13,2.09318276997042e-12
"19","Other","Chordata",-0.04917766921749,0.365995901530124,0.467994759333601
"20","Soft.Substrate","Chordata",0.194761555874708,0.000303078369608301,0.00139059487232044
"21","Annelida","Chordata",0.240994342496816,6.99778169321874e-06,3.41141857544414e-05
"22","Algae","Porifera",-0.395336157309176,3.64153152077051e-14,4.73399097700167e-13
"23","Bryozoa","Porifera",0.116679390254106,0.0314848718127179,0.0744187879209695
"24","Cnidaria","Porifera",0.292985409944712,3.71838067003694e-08,2.07166923044915e-07
"25","Other","Porifera",0.0494223310565598,0.363613058834732,0.467994759333601
"26","Soft.Substrate","Porifera",0.347632515862625,4.30504520920749e-11,3.0526684210744e-10
"27","Annelida","Porifera",0.0660846824407599,0.224220133699488,0.336330200549232
"28","Chordata","Porifera",0.412779733780218,1.99840144432528e-15,3.11750625314744e-14
"29","Algae","Hard.Substrate",-0.14309527523165,0.00823107127636868,0.0253785587980726
"30","Bryozoa","Hard.Substrate",0.126040774796699,0.0200828342184811,0.0525962994885227
"31","Cnidaria","Hard.Substrate",0.0257269460024436,0.636418171333759,0.661440685559083
"32","Other","Hard.Substrate",-0.125893944854141,0.0202293459571241,0.0525962994885227
